rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,transformers,145531,29327,Python,https://github.com/huggingface/transformers,huggingface,1051,2025-06-12T22:19:40Z,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
2,LLM,ollama,143514,12059,Go,https://github.com/ollama/ollama,ollama,1571,2025-06-12T21:18:55Z,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models."
3,LLM,awesome-chatgpt-prompts,128697,17059,JavaScript,https://github.com/f/awesome-chatgpt-prompts,f,0,2025-06-10T18:50:24Z,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.
4,LLM,dify,103024,15473,TypeScript,https://github.com/langgenius/dify,langgenius,675,2025-06-13T03:44:30Z,Production-ready platform for agentic workflow development.
5,LLM,open-webui,98651,12962,JavaScript,https://github.com/open-webui/open-webui,open-webui,155,2025-06-12T16:40:02Z,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
6,LLM,llama.cpp,81697,12077,C++,https://github.com/ggml-org/llama.cpp,ggml-org,329,2025-06-12T23:11:58Z,LLM inference in C/C++
7,LLM,gpt4all,73585,8047,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,687,2025-05-27T20:05:19Z,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.
8,LLM,gpt_academic,68754,8353,Python,https://github.com/binary-husky/gpt_academic,binary-husky,257,2025-06-03T18:25:00Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
9,LLM,browser-use,63029,7117,Python,https://github.com/browser-use/browser-use,browser-use,413,2025-06-13T01:38:28Z,🌐 Make websites accessible for AI agents. Automate tasks online with ease.
10,LLM,OpenHands,57948,6623,Python,https://github.com/All-Hands-AI/OpenHands,All-Hands-AI,262,2025-06-13T03:47:34Z,"🙌 OpenHands: Code Less, Make More"
11,LLM,MetaGPT,56359,6745,Python,https://github.com/FoundationAgents/MetaGPT,FoundationAgents,27,2025-05-16T13:18:18Z,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
12,LLM,llm-course,55283,5899,,https://github.com/mlabonne/llm-course,mlabonne,53,2025-06-04T16:09:23Z,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
